admissionRate,mathSat,englishSat,overallCost,graduateCount,femaleProportion,entryAge,dependentProportion,povertyRate,firstGenerationProportion,asianPreportion,blackPreportion,whitePreportion,hispanicPreportion,nativePreportion,endowment,facultySalary,studentExpendature,studentRevenue,studentCount,medianIncome,housingCost,tuitionCost,overallPrice,pellGrantReceivers,federalLoanReceivers,debtAmount,lenders,sixYearEarnings,schoolName,id
,,,,201.0,0.7292,35.0,0.1288515406,7.86999988555908,0.3682539683,0.25,0.25,0.5,0.0,0.0,850239.0,6305.0,7615.0,16198.0,48.0,65831.0,,,,0.6666666667,0.4861,23501.0,0.8767507003,41333.0,Antioch University-Santa Barbara,
,,,,678.0,0.7959,35.0,0.1288515406,7.86999988555908,0.3682539683,0.0357,0.125,0.6607,0.0179,0.0,1846261.0,5799.0,10169.0,21630.0,98.0,65831.0,,,,0.6666666667,0.4646,23501.0,0.8767507003,41333.0,Antioch University-Seattle,
0.4615,538.0,495.0,26836.0,7.0,0.4731,20.0,0.8837209302,10.7700004577636,,0.0,0.0,1.0,0.0,0.0,1991836.0,3059.0,4664.0,6460.0,167.0,52011.0,8560.0,15830.0,14599.0,0.8139534884,0.2398,11000.0,0.511627907,29303.0,Appalachian Bible College,
,,,,172.0,,,,,,0.3043,0.0,0.6522,0.0435,0.0,406699.0,9013.0,22173.0,34222.0,,,,,,,,,,,Appalachian College of Pharmacy,
0.8469,605.0,550.0,20133.0,2086.0,0.5675,21.0,0.8747940692,6.8600001335144,0.2500863558,0.0445,0.0213,0.8559,0.0106,0.001,179519239.0,8058.0,8027.0,6660.0,18486.0,61267.0,9681.0,23017.0,13897.0,0.5420098847,0.4243,20231.0,0.8476112026,41309.0,Appalachian State University,
0.8904,530.0,,46100.0,124.0,0.574,20.0,0.9305785124,6.28999996185302,0.2191780822,0.0122,0.0122,0.6098,0.0244,0.0,48084905.0,6521.0,8349.0,14234.0,1155.0,64829.0,10264.0,36134.0,17999.0,0.5256198347,0.4351,23000.0,0.9123966942,37555.0,Aquinas College,
0.8242,580.0,535.0,54454.0,1232.0,0.6653,20.0,0.9310344828,5.78000020980835,0.3067010309,0.0855,0.0658,0.7434,0.0526,0.0,97190000.0,8167.0,9343.0,19894.0,1703.0,72830.0,14170.0,46220.0,26188.0,0.4675220529,0.644,27000.0,0.9647153168,45490.0,Arcadia University,
0.7594,530.0,,47850.0,,0.3874,22.0,0.7773279352,7.19000005722046,0.3825503356,0.0,0.0345,0.8621,0.0,0.0,576455.0,5291.0,4486.0,13178.0,1012.0,65520.0,12000.0,30624.0,31546.0,0.7004048583,0.7514,23000.0,0.9230769231,41559.0,Arizona Christian University,
0.8819,,,26992.0,13165.0,0.4968,24.0,0.5695695146,7.71000003814697,0.3813179205,0.1091,0.031,0.6398,0.0805,0.0082,1076514294.0,11668.0,13199.0,18530.0,64216.0,69074.0,13696.0,29438.0,12814.0,0.6274983527,0.3051,19500.0,0.7940918076,49895.0,Arizona State University Campus Immersion,
,,,22127.0,,0.2174,21.0,0.76,16.1399993896484,0.4495289367,0.0,1.0,0.0,0.0,0.0,,4397.0,4418.0,2956.0,414.0,43283.0,8826.0,8760.0,12951.0,0.9222857143,0.6291,25375.0,0.8297142857,23231.0,Arkansas Baptist College,
0.6329,565.0,450.0,21752.0,4622.0,0.6272,23.0,0.6925486686,13.3900003433227,0.3882667965,0.0825,0.0491,0.7348,0.0275,0.0059,103761286.0,7423.0,6090.0,4110.0,7478.0,42159.0,9640.0,12698.0,13430.0,0.7194003133,0.4526,20500.0,0.7681808011,35019.0,Arkansas State University,
0.9437,,,19857.0,739.0,0.559,23.0,0.7103944214,11.6099996566772,0.4574780059,0.0976,0.0296,0.8402,0.0148,0.0059,63150376.0,6845.0,5223.0,4691.0,6467.0,43602.0,8996.0,13636.0,12191.0,0.7515798649,0.3223,21000.0,0.7624754849,34118.0,Arkansas Tech University,
,,,27387.0,3.0,0.3991,23.0,0.7829457364,7.69000005722046,0.4576271186,0.0,0.1667,0.8333,0.0,0.0,,3385.0,4421.0,13037.0,213.0,61756.0,7278.0,15247.0,24513.0,0.5968992248,0.8354,27000.0,0.9224806202,35468.0,Arlington Baptist University,
1.0,,450.0,45741.0,5.0,0.7082,21.0,0.8439716312,5.78000020980835,0.3076923077,0.0,0.1,0.8,0.0,0.0,2479217.0,5355.0,4431.0,20197.0,233.0,69050.0,10500.0,35290.0,25725.0,0.5531914894,0.815,27000.0,,27036.0,Art Academy of Cincinnati,
0.7744,,,44043.0,248.0,0.588,23.0,0.7150760719,6.90999984741211,0.2362318841,0.0253,0.0127,0.9367,0.0253,0.0,69641629.0,6601.0,10342.0,13581.0,1335.0,61842.0,8340.0,32652.0,23048.0,0.5477178423,0.5097,24028.0,0.9100968188,34831.0,Asbury University,
0.7001,570.0,,35126.0,1198.0,0.5089,29.0,0.4051922445,5.88000011444091,0.4089443997,0.0241,0.0542,0.8916,0.006,0.0,61340051.0,7359.0,11053.0,18423.0,2991.0,64491.0,10940.0,23090.0,21151.0,0.6864935919,0.4468,25000.0,0.5264541571,43348.0,Ashland University,
,,,,,1.0,,,,,,,,,,1418663.0,,2986.0,1732.0,32.0,,6240.0,5773.0,,,0.0,,,,Assumption College for Sisters,
,,,,235.0,0.7049,30.0,0.2786458333,10.4399995803833,0.4774964838,0.0864,0.1111,0.7531,0.0247,0.0247,5701551.0,8834.0,7908.0,6761.0,2511.0,50752.0,,,,0.720703125,0.455,18051.0,0.81640625,42451.0,Athens State University,
,,,12330.0,,0.6517,24.0,0.5856481481,14.619999885559,0.3948094975,0.0789,0.7632,0.1053,0.0263,0.0,605424.0,5661.0,3905.0,2203.0,1467.0,53064.0,,10131.0,6649.0,0.9175925926,0.2388,14123.0,0.4569444444,25801.0,Atlanta Metropolitan State College,
0.7118,,570.0,32678.0,6595.0,0.4953,20.0,0.9141323792,9.59000015258789,0.1726471191,0.1092,0.0637,0.7179,0.0403,0.0041,993955140.0,11093.0,8180.0,17273.0,24782.0,59005.0,14596.0,31986.0,23258.0,0.4362949712,0.2869,21000.0,0.887696283,52489.0,Auburn University,
